,Facebook Id
0,100044148684032
1,100044273387576
2,100050893097078
5,100044375951610
12,100044630550295
14,100072251745684
17,10505090694
19,100044499186953
20,100044529062244
21,100044630850285
22,100044504706621
24,167071650061650
27,100064533560841
28,100053930733472
30,100069019396154
33,13310147298
35,100066844004246
36,114256800495
41,100044317335297
46,100063500329377
47,1048186335224436
50,100058006901947
51,74999924371
52,100044568845356
53,100045309982663
55,100063694998250
57,100049058210094
61,57237502362
66,100044392750980
68,366989456752148
72,120752310486
73,100064606307059
74,1427468237476789
76,100044251068266
77,100064119661886
78,164600783567463
84,100044094071037
86,100050205381729
88,100058035009425
91,194313307353854
93,100044270267625
99,100058328130805
103,100057809749148
111,100070761342427
116,541293015923092
118,60468844804
120,100063905282281
123,100064396103297
125,100064393702992
126,321395818452759
129,100046900395312
135,75540426251
137,100066775591076
139,100064543996637
140,100064422379937
146,100064725004623
150,137111986340270
161,587905034561547
167,85949972238
172,1466385483607097
174,216777139531
179,103218576421422
181,100063502099400
182,1617491695159752
183,156272574683
185,160892570609223
186,1455384774761146
190,100044500566724
196,134323820585259
198,115488708496615
202,100027677929812
206,100028285645960
207,698737660204385
208,100063705520381
210,100058179184677
211,101912184733011
212,100058108405215
222,100047215571162
229,154018957983813
230,100044314095370
232,220455308061794
241,100064762281955
242,459920114087968
243,160775312047
252,100058076857439
258,100046662652983
277,100044775621257
281,444237349074965
282,22099419207
283,100057902746297
284,663088290431478
296,100057944323996
309,100044271227882
317,100044124771802
332,100064591337890
335,100057758063558
337,123999957647509
340,100058058379648
343,100064717209055
348,100058219412636
356,348520198979803
363,100063880070719
364,177463199336663
376,100058208854394
380,1439535179637053
381,115707516740752
382,109353397073470
390,100064830902863
391,100057837441262
397,100063540198278
413,224593796162
417,1502252149997075
420,645392368909975
426,137117702969121
427,312130646398669
428,100058048298854
436,1636246536468155
445,100050464841123
446,725359304229585
452,406601156398065
457,111701062827878
458,123603027660904
461,100064442212434
469,100057717803192
478,117998278218330
479,100058165297008
491,100069216069869
493,116381378394253
500,100063891212769
502,100058212603018
505,31241924284
517,100069034815762
519,100057670734689
524,100057700073958
527,100064792000541
528,1208669005920585
530,307116752635199
531,100044546704751
541,296144613756304
544,100069965656759
553,100057652285695
561,100063617561150
562,100069235598724
570,80939959675
574,1394412707466827
583,133071203427918
584,100063745838831
586,115749556629
590,112428432301042
607,100057940483792
608,535480489824893
611,100050341546267
620,719284904852047
621,100064329594018
624,100063553061255
630,100050483949868
632,100050394434051
634,609247722444321
647,252923158744872
648,105910481006630
650,100064450674104
657,100064959931109
672,162460564275541
673,100058282320512
674,409779299192475
691,100044140644083
701,100057702865050
702,105632964123757
704,100068378053864
723,101360239926203
724,235314089850766
727,41107761812
738,100057944474633
741,100057877938295
744,137181207879
746,190592202139
749,127874340566864
750,71057886410
758,102795851804397
762,162224007288029
763,100045442781444
765,100064605192932
770,358520518166
772,316502514310
784,100068857554616
786,100057751913342
789,115147409855490
791,100064849024199
793,100057732836075
798,100044406790322
810,103317463069816
812,100068840650346
813,100057704934457
815,100066617952843
816,100057921854775
819,416297125096356
820,100058179037257
825,7298625919
834,20904146327
839,30179223526
858,540357580214070
864,100057799102489
867,100064559235241
868,140706995941854
869,100064803938109
885,87374427048
887,171525870170501
888,102827597945495
892,100064488471061
893,100044192181110
894,284734698218998
897,100057834649513
903,194261427265946
919,50737726167
922,100064642367649
926,251761318209717
927,100032450726424
931,56809212090
936,100068893372681
956,2108143819304923
960,113917592298
962,100058302811816
964,100057724254216
982,100064789293888
984,100031027492856
985,100075946852316
989,792474767486073
990,100058212813031
993,41837181986
996,100069302465736
999,100064549785668
1000,100064284085702
1001,39794743941
1006,789935971107812
1025,103734308046005
1026,1484662705130645
1031,100057369655162
1033,100063672061697
1035,100064680700485
1036,100064542555967
1038,100064273766261
1042,336342483090610
1043,47491478599
1047,694621357364649
1048,299087774572
1049,63747063124
